time,cumulative,average_temperature(°C),average_humidity(%),average_co2(ppm),average_illumination(lux)
2024-04-22 10:00:00,1.244,3.169,3.92,6.717,4.192
2024-04-22 11:00:00,1.313,3.186,3.909,6.775,4.205
2024-04-22 12:00:00,0.638,3.193,3.891,6.865,4.192
2024-04-22 13:00:00,1.043,3.188,3.864,6.637,4.2
2024-04-22 14:00:00,1.331,3.199,3.896,6.939,4.181
2024-04-22 15:00:00,1.118,3.224,3.898,7.084,4.197
2024-04-22 16:00:00,1.155,3.233,3.863,6.985,4.181
2024-04-22 17:00:00,1.356,3.225,3.837,7.06,4.196
2024-04-22 18:00:00,1.215,3.211,3.842,7.126,4.2
2024-04-22 19:00:00,0.855,3.197,3.82,6.875,4.199
2024-04-22 20:00:00,0.855,3.182,3.791,6.501,4.252
2024-04-22 21:00:00,1.366,3.184,3.791,6.538,4.261
2024-04-22 22:00:00,1.26,3.176,3.752,6.465,4.198
2024-04-22 23:00:00,1.26,3.17,3.744,6.362,4.203
2024-04-23 00:00:00,1.26,3.157,3.756,6.287,4.201
2024-04-23 01:00:00,1.26,3.148,3.767,6.25,3.995
2024-04-23 02:00:00,1.26,3.141,3.772,6.223,0.0
2024-04-23 03:00:00,1.26,3.125,3.767,6.213,0.0
2024-04-23 04:00:00,1.26,3.115,3.758,6.213,0.0
2024-04-23 05:00:00,1.26,3.109,3.755,6.209,0.0
2024-04-23 06:00:00,1.26,3.106,3.762,6.211,-2.708
2024-04-23 07:00:00,1.26,3.105,3.761,6.209,0.531
2024-04-23 08:00:00,1.26,3.096,3.761,6.226,3.719
2024-04-23 09:00:00,1.26,3.102,3.757,6.236,4.201
2024-04-23 10:00:00,1.603,3.109,3.797,6.597,4.19
2024-04-23 11:00:00,1.652,3.128,3.808,6.744,4.175
2024-04-23 12:00:00,1.194,3.163,3.83,7.04,4.175
2024-04-23 13:00:00,1.449,3.159,3.801,6.771,4.175
2024-04-23 14:00:00,1.684,3.153,3.823,6.996,4.181
2024-04-23 15:00:00,1.579,3.15,3.853,7.185,4.187
2024-04-23 16:00:00,1.551,3.147,3.853,7.23,4.175
2024-04-23 17:00:00,1.517,3.144,3.863,7.217,4.197
2024-04-23 18:00:00,1.491,3.146,3.877,7.258,4.21
2024-04-23 19:00:00,0.844,3.143,3.874,7.242,4.153
2024-04-23 20:00:00,1.163,3.122,3.858,6.963,4.204
2024-04-23 21:00:00,1.856,3.112,3.864,6.69,4.203
2024-04-23 22:00:00,2.261,3.125,3.91,6.551,4.2
2024-04-23 23:00:00,2.261,3.122,3.912,6.596,4.204
2024-04-24 00:00:00,2.261,3.123,3.897,6.589,4.203
2024-04-24 01:00:00,2.261,3.104,3.892,6.494,3.169
2024-04-24 02:00:00,2.261,3.12,3.882,6.362,0.0
2024-04-24 03:00:00,2.261,3.128,3.875,6.301,0.0
2024-04-24 04:00:00,2.261,3.132,3.87,6.26,0.0
2024-04-24 05:00:00,2.261,3.134,3.866,6.247,0.0
2024-04-24 06:00:00,2.261,3.135,3.861,6.232,0.0
2024-04-24 07:00:00,2.261,3.136,3.856,6.228,3.086
2024-04-24 08:00:00,2.261,3.141,3.853,6.245,4.202
2024-04-24 09:00:00,2.261,3.146,3.85,6.283,4.204
2024-04-24 10:00:00,2.456,3.162,3.899,6.651,4.196
2024-04-24 11:00:00,2.68,3.177,3.9,6.837,4.193
2024-04-24 12:00:00,1.786,3.192,3.888,6.848,4.195
2024-04-24 13:00:00,2.157,3.188,3.877,6.539,4.191
2024-04-24 14:00:00,2.498,3.194,3.882,6.777,4.199
2024-04-24 15:00:00,2.24,3.205,3.847,6.945,4.204
2024-04-24 16:00:00,2.386,3.204,3.817,7.019,4.229
2024-04-24 17:00:00,2.339,3.212,3.738,6.894,4.254
2024-04-24 18:00:00,2.544,3.22,3.702,6.891,4.213
2024-04-24 19:00:00,2.284,3.223,3.657,6.712,4.202
2024-04-24 20:00:00,1.895,3.21,3.643,6.473,4.205
2024-04-24 21:00:00,1.202,3.194,3.665,6.431,4.204
2024-04-24 22:00:00,1.202,3.186,3.686,6.395,4.205
2024-04-24 23:00:00,1.202,3.179,3.698,6.405,4.204
2024-04-25 00:00:00,1.202,3.171,3.702,6.372,4.173
2024-04-25 01:00:00,1.202,3.158,3.711,6.282,0.0
2024-04-25 02:00:00,1.202,3.151,3.722,6.241,0.0
2024-04-25 03:00:00,1.202,3.146,3.735,6.241,0.0
2024-04-25 04:00:00,1.202,3.143,3.741,6.236,0.0
2024-04-25 05:00:00,1.202,3.14,3.748,6.243,0.0
2024-04-25 06:00:00,1.202,3.137,3.748,6.245,-2.499
2024-04-25 07:00:00,1.202,3.137,3.749,6.243,2.788
2024-04-25 08:00:00,1.202,3.139,3.751,6.262,3.811
2024-04-25 09:00:00,1.202,3.147,3.76,6.29,4.066
2024-04-25 10:00:00,1.506,3.161,3.777,6.599,4.195
2024-04-25 11:00:00,1.575,3.172,3.754,6.67,4.198
2024-04-25 12:00:00,0.9,3.197,3.731,6.724,4.193
2024-04-25 13:00:00,1.305,3.194,3.699,6.427,4.201
2024-04-25 14:00:00,1.593,3.203,3.757,7.022,4.184
2024-04-25 15:00:00,1.379,3.225,3.791,7.256,4.189
2024-04-25 16:00:00,1.417,3.227,3.793,7.143,4.244
2024-04-25 17:00:00,1.618,3.206,3.829,7.219,4.243
2024-04-25 18:00:00,1.477,3.199,3.843,7.232,4.198
2024-04-25 19:00:00,1.117,3.192,3.864,7.114,4.187
2024-04-25 20:00:00,1.117,3.191,3.84,6.837,4.232
2024-04-25 21:00:00,1.628,3.188,3.821,6.72,4.229
2024-04-25 22:00:00,1.522,3.18,3.818,6.612,4.223
2024-04-25 23:00:00,1.522,3.17,3.83,6.507,1.581
2024-04-26 00:00:00,1.522,3.158,3.834,6.442,3.773
2024-04-26 01:00:00,1.522,3.153,3.831,6.406,0.0
2024-04-26 02:00:00,1.522,3.147,3.837,6.364,0.0
2024-04-26 03:00:00,1.522,3.14,3.837,6.342,0.0
2024-04-26 04:00:00,1.522,3.134,3.843,6.335,0.0
2024-04-26 05:00:00,1.522,3.129,3.848,6.318,0.0
2024-04-26 06:00:00,1.522,3.127,3.862,6.313,0.0
2024-04-26 07:00:00,1.522,3.125,3.871,6.314,0.56
2024-04-26 08:00:00,1.522,3.123,3.88,6.332,1.7
2024-04-26 09:00:00,1.522,3.124,3.9,6.376,3.865
2024-04-26 10:00:00,1.865,3.128,3.926,6.824,4.186
2024-04-26 11:00:00,1.914,3.158,3.942,7.144,4.182
2024-04-26 12:00:00,1.456,3.19,3.929,7.228,4.169
2024-04-26 13:00:00,1.711,3.186,3.877,6.949,4.178
2024-04-26 14:00:00,1.946,3.176,3.898,7.054,4.197
2024-04-26 15:00:00,1.84,3.18,3.905,7.005,4.187
2024-04-26 16:00:00,1.813,3.178,3.894,7.096,4.193
2024-04-26 17:00:00,1.779,3.176,3.889,7.176,4.184
2024-04-26 18:00:00,1.753,3.18,3.895,7.212,4.201
2024-04-26 19:00:00,1.106,3.176,3.919,7.272,4.169
2024-04-26 20:00:00,1.424,3.178,3.9,7.186,4.205
2024-04-26 21:00:00,2.117,3.168,3.941,7.128,4.185
2024-04-26 22:00:00,2.523,3.161,3.962,7.15,4.223
2024-04-26 23:00:00,2.523,3.165,3.947,7.192,4.217
2024-04-27 00:00:00,2.523,3.169,3.943,7.195,4.208
2024-04-27 01:00:00,2.523,3.164,3.943,7.095,1.603
2024-04-27 02:00:00,2.523,3.155,3.945,6.976,0.0
2024-04-27 03:00:00,2.523,3.149,3.948,6.877,0.0
2024-04-27 04:00:00,2.523,3.146,3.949,6.805,0.0
2024-04-27 05:00:00,2.523,3.142,3.948,6.734,0.0
2024-04-27 06:00:00,2.523,3.139,3.946,6.675,-2.725
2024-04-27 07:00:00,2.523,3.137,3.945,6.628,0.411
2024-04-27 08:00:00,2.523,3.136,3.942,6.581,0.0
2024-04-27 09:00:00,2.523,3.139,3.943,6.534,0.017
2024-04-27 10:00:00,2.718,3.146,3.941,6.501,0.0
2024-04-27 11:00:00,2.941,3.154,3.939,6.479,-0.033
2024-04-27 12:00:00,2.048,3.158,3.933,6.454,0.0
2024-04-27 13:00:00,2.419,3.161,3.923,6.434,0.0
2024-04-27 14:00:00,2.76,3.161,3.914,6.421,0.0
2024-04-27 15:00:00,2.502,3.158,3.909,6.414,3.218
2024-04-27 16:00:00,2.647,3.149,3.888,6.529,4.1
2024-04-27 17:00:00,2.601,3.142,3.875,6.647,4.123
2024-04-27 18:00:00,2.806,3.138,3.876,6.707,4.099
2024-04-27 19:00:00,2.546,3.155,3.876,6.643,3.43
2024-04-27 20:00:00,2.157,3.164,3.878,6.6,2.266
2024-04-27 21:00:00,1.464,3.128,3.896,6.564,4.08
2024-04-27 22:00:00,1.464,3.113,3.923,6.556,4.079
2024-04-27 23:00:00,1.464,3.106,3.924,6.578,4.078
2024-04-28 00:00:00,1.464,3.101,3.932,6.57,3.918
2024-04-28 01:00:00,1.464,3.115,3.94,6.545,0.0
