time,ac_in_power(Kwh),ac_out_power(Kwh),automatic_door_power(Kwh)
2024-04-23 02:00:00,0.10000000000000142,0.10000000000002274,0.0
2024-04-23 03:00:00,0.0,0.0999999999999659,0.0
2024-04-23 04:00:00,0.0,0.10000000000002274,0.0
2024-04-23 05:00:00,0.0,0.19999999999998863,0.0
2024-04-23 06:00:00,0.09999999999999787,0.10000000000002274,0.0
2024-04-23 07:00:00,0.0,0.0999999999999659,0.0
2024-04-23 08:00:00,0.0,0.19999999999998863,0.0
2024-04-23 09:00:00,0.10000000000000142,1.1000000000000227,0.09999999999999964
2024-04-23 10:00:00,0.0,1.3999999999999773,0.0
2024-04-23 11:00:00,0.0,1.400000000000034,0.0
2024-04-23 12:00:00,0.09999999999999787,1.5,0.0
2024-04-23 13:00:00,0.10000000000000142,3.0,0.0
2024-04-23 14:00:00,0.10000000000000142,2.75,0.0
2024-04-23 15:00:00,0.09999999999999787,2.5500000000000114,0.0
2024-04-23 16:00:00,0.10000000000000142,2.75,0.0
2024-04-23 17:00:00,0.09999999999999787,2.849999999999966,0.0
2024-04-23 18:00:00,0.10000000000000142,1.9499999999999886,0.0
2024-04-23 19:00:00,0.10000000000000142,1.650000000000034,0.09999999999999964
2024-04-23 20:00:00,0.0,1.3000000000000114,0.0
2024-04-23 21:00:00,0.09999999999999787,1.3999999999999773,0.0
2024-04-23 22:00:00,0.0,1.3000000000000114,0.0
2024-04-23 23:00:00,0.10000000000000142,1.25,0.0
2024-04-24 00:00:00,0.0,0.6499999999999773,0.0
2024-04-24 01:00:00,0.09999999999999787,0.0,0.0
2024-04-24 02:00:00,0.0,0.19999999999998863,0.0
2024-04-24 03:00:00,0.0,0.20000000000004547,0.0
2024-04-24 04:00:00,0.0,0.0999999999999659,0.0
2024-04-24 05:00:00,0.10000000000000142,0.10000000000002274,0.10000000000000053
2024-04-24 06:00:00,0.0,0.0999999999999659,0.0
2024-04-24 07:00:00,0.0,0.20000000000004547,0.0
2024-04-24 08:00:00,0.0,0.19999999999998863,0.0
2024-04-24 09:00:00,0.10000000000000142,1.3999999999999773,0.0
2024-04-24 10:00:00,0.0,2.1000000000000227,0.0
2024-04-24 11:00:00,0.0,0.0999999999999659,0.0
2024-04-24 12:00:00,0.09999999999999787,0.10000000000002274,0.0
2024-04-24 13:00:00,0.0,1.75,0.0
2024-04-24 14:00:00,0.10000000000000142,2.3500000000000227,0.0
2024-04-24 15:00:00,0.0,2.099999999999966,0.09999999999999964
